ForeTime,Load
01/25 00,296.12
01/25 01,300.31
01/25 02,302.06
01/25 03,300.36
01/25 04,291.89
01/25 05,287.49
01/25 06,283.27
01/25 07,281.95
01/25 08,285.97
01/25 09,292.76
01/25 10,306.89
01/25 11,325.45
01/25 12,342.13
01/25 13,354.93
01/25 14,349.9
01/25 15,324.21
01/25 16,295.93
01/25 17,266.92
01/25 18,246.91
01/25 19,232.77
01/25 20,222.21
01/25 21,217.34
01/25 22,218.32
01/25 23,229.94
01/26 00,247.15
01/26 01,253.04
01/26 02,254.56
01/26 03,251.65
01/26 04,246.84
01/26 05,241.87
01/26 06,236.93
01/26 07,232.07
01/26 08,232.45
01/26 09,235.79
01/26 10,245.14
01/26 11,262.2
01/26 12,281.52
01/26 13,299.92
01/26 14,299.98
01/26 15,286.17
01/26 16,258.14
01/26 17,238.98
01/26 18,224.83
01/26 19,215.38
01/26 20,207.52
01/26 21,205.08
01/26 22,207.04
01/26 23,215.93
01/27 00,230.02
01/27 01,232.94
01/27 02,232.45
01/27 03,226.4
01/27 04,217.4
01/27 05,207.07
01/27 06,198.18
01/27 07,191.73
01/27 08,188.97
01/27 09,191.4
01/27 10,199.12
01/27 11,216.36
01/27 12,244.4
01/27 13,262.61
01/27 14,261.99
01/27 15,249.29
01/27 16,233.65
01/27 17,221.58
01/27 18,213.72
01/27 19,206.73
01/27 20,201.53
01/27 21,200.22
01/27 22,203.11
01/27 23,211.66
01/28 00,223.76
01/28 01,225.01
01/28 02,220.56
01/28 03,209.84
01/28 04,197.47
01/28 05,185.84
01/28 06,175.9
01/28 07,169.9
01/28 08,166.28
01/28 09,165.09
01/28 10,172.6
01/28 11,189.3
01/28 12,215.21
01/28 13,229.77
01/28 14,229.37
01/28 15,220.61
01/28 16,210.42
01/28 17,201.35
01/28 18,195.55
