target_timestamp,pred_init_2025010700,pred_init_2025010800,pred_init_2025010900
2025-01-10 00:00:00,286.53,292.48,286.78
2025-01-10 01:00:00,295.26,299.81,294.54
2025-01-10 02:00:00,296.75,304.44,296.86
2025-01-10 03:00:00,290.38,299.72,293.88
2025-01-10 04:00:00,283.29,288.88,284.92
2025-01-10 05:00:00,275.73,279.81,277.82
2025-01-10 06:00:00,267.9,274.18,270.06
2025-01-10 07:00:00,262.11,267.8,265.0
2025-01-10 08:00:00,262.64,266.75,265.12
2025-01-10 09:00:00,267.5,274.14,271.64
2025-01-10 10:00:00,283.02,288.08,286.56
2025-01-10 11:00:00,302.13,303.33,303.51
2025-01-10 12:00:00,325.73,324.06,326.25
2025-01-10 13:00:00,340.8,337.17,340.72
2025-01-10 14:00:00,340.1,334.26,341.28
2025-01-10 15:00:00,321.4,312.4,326.36
2025-01-10 16:00:00,288.93,284.33,298.68
2025-01-10 17:00:00,263.93,255.87,271.19
2025-01-10 18:00:00,244.55,236.69,249.0
2025-01-10 19:00:00,,223.74,232.43
2025-01-10 20:00:00,,214.38,221.66
2025-01-10 21:00:00,,210.51,217.7
2025-01-10 22:00:00,,213.72,217.71
2025-01-10 23:00:00,,221.7,220.02
