kind,timestamp,expected_load_mw,exceedance_mw,volatility_mw,range_mw
capacity,2025-01-16 01:00:00,248.49,0.0,,
capacity,2025-01-16 02:00:00,248.64,0.0,,
capacity,2025-01-16 12:00:00,268.72,0.0,,
capacity,2025-01-16 13:00:00,280.46,0.0,,
capacity,2025-01-16 14:00:00,273.54,0.0,,
capacity,2025-01-16 15:00:00,256.18,0.0,,
stability,2025-01-16 09:00:00,213.15,,4.772674535543168,10.599999999999994
stability,2025-01-16 10:00:00,224.0,,5.627020131077875,12.660000000000023
stability,2025-01-16 11:00:00,242.54,,6.603960091406426,15.519999999999982
stability,2025-01-16 12:00:00,268.72,,6.836680481052198,15.450000000000015
stability,2025-01-16 13:00:00,280.46,,7.002520181255383,15.220000000000027
stability,2025-01-16 14:00:00,273.54,,5.298735698258607,11.610000000000014
