ForeTime,Load
01/23 00,364.14
01/23 01,352.93
01/23 02,347.03
01/23 03,339.6
01/23 04,324.13
01/23 05,311.03
01/23 06,300.05
01/23 07,295.88
01/23 08,296.37
01/23 09,299.33
01/23 10,305.82
01/23 11,318.42
01/23 12,333.9
01/23 13,344.03
01/23 14,339.11
01/23 15,322.04
01/23 16,300.81
01/23 17,280.67
01/23 18,266.38
01/23 19,255.68
01/23 20,247.74
01/23 21,244.91
01/23 22,249.24
01/23 23,259.85
01/24 00,276.17
01/24 01,278.34
01/24 02,274.16
01/24 03,270.73
01/24 04,264.91
01/24 05,260.73
01/24 06,259.33
01/24 07,259.59
01/24 08,265.38
01/24 09,274.91
01/24 10,292.52
01/24 11,311.99
01/24 12,337.13
01/24 13,355.3
01/24 14,357.13
01/24 15,339.99
01/24 16,311.5
01/24 17,283.08
01/24 18,260.51
01/24 19,244.42
01/24 20,231.81
01/24 21,228.49
01/24 22,236.73
01/24 23,253.24
01/25 00,271.26
01/25 01,281.1
01/25 02,287.64
01/25 03,288.29
01/25 04,281.61
01/25 05,278.69
01/25 06,275.88
01/25 07,274.58
01/25 08,277.51
01/25 09,283.35
01/25 10,296.15
01/25 11,311.7
01/25 12,331.28
01/25 13,344.87
01/25 14,342.36
01/25 15,318.7
01/25 16,291.3
01/25 17,264.6
01/25 18,246.58
01/25 19,231.29
01/25 20,221.87
01/25 21,218.47
01/25 22,221.05
01/25 23,235.56
01/26 00,255.77
01/26 01,263.19
01/26 02,264.51
01/26 03,264.61
01/26 04,261.41
01/26 05,258.77
01/26 06,254.24
01/26 07,251.08
01/26 08,253.95
01/26 09,263.22
01/26 10,278.82
01/26 11,298.68
01/26 12,320.44
01/26 13,330.23
01/26 14,325.78
01/26 15,302.89
01/26 16,275.08
01/26 17,250.84
01/26 18,232.85
